feature,coefficient
vital48h_pap_dbp_min,-0.01904928139882117
vital48h_cvp_min,-0.01728140506531038
labs7d_potassium_count,0.016750551465248228
vital48h_temperature_min,-0.016312854336782152
fluid6h_input_rate_ml_per_hr,-0.01627474310065557
vital48h_cardiac_output_mean,0.016090237815066657
vital48h_gcs_min,-0.015542162719828391
vital48h_cardiac_output_count,-0.015309124765245416
vital48h_spo2_mean,-0.015100208661682574
vital48h_spo2_value_mean,-0.015100208661682574
vital48h_sbp_value_mean,0.014535962015212548
vital48h_sbp_mean,0.014535962015212548
labs7d_wbc_count,-0.014456064762850274
vital48h_pap_sbp_std,0.013997766838307708
labs7d_wbc_mean,-0.013913142551476028
cmb_cerebrovasc,0.013676611427718158
labs7d_albumin_count,0.013146899121262176
dem_race_HISPANIC,-0.012889261219325647
vital48h_pap_sbp_last,-0.011664384616114692
vital48h_pap_sbp_count,-0.011326208235881517
vital48h_pap_dbp_count,-0.011326208235881517
hx31to180d_mannitol_any,-0.011025742871022383
dem_mar_UNK,-0.010842414869184528
vital48h_pap_mbp_max,-0.01083694412904861
labs7d_bicarbonate_last,0.010817876665597175
labs7d_hgb_last,-0.01054254015049223
vital48h_dbp_mean,-0.010132675504655865
vital48h_dbp_value_mean,-0.010132675504655865
vital48h_shock_index_mean,-0.009549726462363173
vital48h_sbp_std,-0.009096040297960118
fluid6h_input_count,0.008370936069793234
vital48h_cvp_mean,-0.008134838504917464
vital48h_cardiac_output_last,0.007643488738804646
vital48h_dbp_std,-0.0073624922276552835
vital48h_temperature_std,0.007142003846959774
hx30d_vasopressors_any,-0.00619513181248791
vital48h_dbp_count,0.006015848139494538
dem_mar_DIVORCED,-0.0055521672896366725
hx30d_crrt_context_any,0.00536961953938785
hx31to180d_vasopressors_any,-0.005359213673759622
hx31to180d_aminoglycosides_any,-0.005359213673759622
vital48h_resp_rate_count,0.004841934791257599
vital48h_sbp_min,-0.004649824774900393
hx30d_diuretics_any,0.004550744364916499
labs7d_albumin_mean,0.0038698539041187117
labs7d_sodium_last,-0.0038646511248612595
vital48h_temperature_value_mean,0.003693375248996904
vital48h_temperature_mean,0.003693375248996904
vital48h_spo2_last,-0.0036068841836730398
vital48h_dbp_min,-0.00348380720669531
vital48h_spo2_max,-0.0032119157424859873
vital48h_gcs_mean,0.0031936975118381826
vital48h_sbp_count,0.0029452521990085915
labs7d_potassium_min,-0.002944936116751742
labs7d_plt_std,0.0027093518383016395
dem_race_UNK,-0.002430850688710588
labs7d_potassium_last,-0.0020695199570753557
vital48h_resp_rate_std,0.0018232113906354564
vital48h_resp_rate_last,-0.0014728889183039772
fluid48h_output_urine_count,-0.0013616012077428117
labs7d_sodium_min,-0.001037837811920001
dem_race_OTHER,-0.0009346978685815985
vital48h_spo2_min,0.000363667103313434
vital48h_gcs_std,0.0003441787760446327
fluid48h_input_rate_ml_per_hr,-0.00025596458000860047
hx31to180d_mech_vent_any,0.0
hx31to180d_crrt_any,0.0
hx31to180d_rrt_any,0.0
hx30d_crrt_any,0.0
hx31to180d_crrt_context_any,0.0
hx30d_mannitol_any,0.0
hx31to180d_colloid_bolus_any,0.0
dem_mar_SEPARATED,0.0
vital48h_pap_mbp_count,0.0
hx31to180d_diuretics_any,0.0
hx31to180d_nsaids_any,0.0
vital48h_pap_mbp_last,0.0
dem_mar_OTHER,0.0
vital48h_pap_pulse_pressure_mean,0.0
